SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,37.8,37.8,36.15,36.85,37.4,37.05,27130,994657.9,2017-06-28,202,INE144J01027
3IINFOTECH,EQ,4.1,4.85,4.0,4.55,4.65,4.05,20157058,92148517.65,2017-06-28,7353,INE748C01020
3MINDIA,EQ,13425.15,13469.55,12920.0,13266.7,13300.0,13460.55,2290,30304923.35,2017-06-28,748,INE470A01017
63MOONS,EQ,61.0,61.9,60.35,61.0,61.1,60.65,27701,1689421.0,2017-06-28,437,INE111B01023
8KMILES,EQ,546.1,548.0,535.0,537.45,535.2,547.45,79722,43208620.05,2017-06-28,1866,INE650K01021
